                                                                        ARCHIVO DE PRUEBAS DE REPORATIDORES
====================================================================================================================================================================================
               DNI                                                         TIPO DE VEHICULO                                            CODIGO DEL DISTRITO                                         
               77606                                                       24.9                                                        19.98                                                       
               39137                                                       12                                                          0                                                           
               9489                                                        7                                                           0                                                           
               5921                                                        29.5                                                        16.09                                                       
               11751                                                       8.9                                                         0                                                           
               7572                                                        18.9                                                        0                                                           
               1692                                                        89.9                                                        17.36                                                       
               15365                                                       44.9                                                        5.28                                                        
               53991                                                       3.9                                                         0                                                           
               1620                                                        15.9                                                        0                                                           
               7762                                                        23.9                                                        0                                                           
               7691                                                        23.9                                                        0                                                           
               9738                                                        18.9                                                        0                                                           
               5525                                                        58.5                                                        18.6                                                        
               15392                                                       18.9                                                        0                                                           
               9851                                                        73.9                                                        16.73                                                       
               15116                                                       49.9                                                        9.18                                                        
               15272                                                       59.9                                                        7.45                                                        
               11731                                                       8.9                                                         0                                                           
               9141                                                        21.9                                                        6.8                                                         
               53518                                                       15.9                                                        0                                                           
               9903                                                        10.5                                                        13.99                                                       
               15756                                                       50.9                                                        0                                                           
               3546                                                        9.9                                                         7.19                                                        
               11850                                                       53.9                                                        0                                                           
               5760                                                        34.5                                                        0                                                           
               3814                                                        9.9                                                         10.91                                                       
               15419                                                       37.9                                                        0                                                           
               1500                                                        128.9                                                       0                                                           
               7910                                                        22.9                                                        0                                                           
               5592                                                        33.9                                                        0                                                           
               3502                                                        15.9                                                        10.81                                                       
               39584                                                       15.5                                                        13.44                                                       
               15611                                                       46.9                                                        0                                                           
               1471                                                        8.9                                                         0                                                           
               9810                                                        71.9                                                        0                                                           
               3428                                                        19.5                                                        0                                                           
               9987                                                        15.5                                                        0                                                           
               5326                                                        36.9                                                        18.31                                                       
               77493                                                       23.9                                                        12.78                                                       
               55338                                                       22.9                                                        9.46                                                        
               15539                                                       21.9                                                        13.99                                                       
               39227                                                       7                                                           0                                                           
               9431                                                        12.5                                                        11.05                                                       
               15950                                                       43.9                                                        8.9                                                         
               15945                                                       48.9                                                        0                                                           
               9199                                                        10.5                                                        0                                                           
               5319                                                        47.9                                                        0                                                           
               5197                                                        47.5                                                        11.82                                                       
               77894                                                       32.9                                                        5.74                                                        
               15283                                                       33.5                                                        0                                                           
               9442                                                        21.9                                                        11.88                                                       
               15378                                                       33.5                                                        0                                                           
               9955                                                        73.9                                                        14.83                                                       
               15578                                                       33.5                                                        0                                                           
               3377                                                        3.9                                                         0                                                           
               3410                                                        12.9                                                        0                                                           
               1871                                                        54.9                                                        11.86                                                       
               15724                                                       31.5                                                        0                                                           
               5864                                                        32.5                                                        16.73                                                       
               15404                                                       17.9                                                        0                                                           
               7971                                                        23.9                                                        0                                                           
               9536                                                        15.5                                                        0                                                           
               5153                                                        18.9                                                        19.04                                                       
               39160                                                       15.5                                                        17.39                                                       
               90758                                                       25.9                                                        7.08                                                        
               15745                                                       48.9                                                        14.48                                                       
               15621                                                       33.5                                                        13.94                                                       
