                                                                         REPORTE DE PRUBEA DE INFRACCIONES
====================================================================================================================================================================================
DNI                           FECHA                         CODIGO                        DESCRIPCION                   GRAVEDAD                      MONTO                         
93303777                      05/06/2025                    A1                            NO RESPETAR SENAL             Leve                          120                           
10076758                      05/06/2025                    H8                            LUZ ROJA                      Muy Grave                     200                           
31931511                      05/06/2025                    A1                            LUZ ROJA                      Muy Grave                     200                           
78064830                      06/06/2025                    H8                            LUZ ROJA                      Muy Grave                     150                           
44999379                      06/06/2025                    C3                            LUZ ROJA                      Grave                         240                           
38427073                      06/06/2025                    B2                            EXCESO VELOCIDAD              Grave                         150                           
71780854                      06/06/2025                    D4                            ESTACIONAR ZONA PROHIBIDA     Leve                          300                           
31931511                      06/06/2025                    H8                            ESTACIONAR ZONA PROHIBIDA     Grave                         120                           
38195995                      08/06/2025                    G7                            ESTACIONAR ZONA PROHIBIDA     Grave                         300                           
58884978                      08/06/2025                    G7                            SIN CINTURON                  Muy Grave                     350                           
45264581                      09/06/2025                    E5                            HABLAR CELULAR                Leve                          300                           
13999315                      09/06/2025                    G7                            HABLAR CELULAR                Muy Grave                     150                           
93303777                      10/06/2025                    H8                            NO RESPETAR SENAL             Muy Grave                     350                           
38195995                      11/06/2025                    A1                            EXCESO VELOCIDAD              Grave                         120                           
15614174                      11/06/2025                    G7                            NO RESPETAR SENAL             Muy Grave                     200                           
38210242                      11/06/2025                    E5                            LUZ ROJA                      Leve                          150                           
86644106                      11/06/2025                    B2                            EXCESO VELOCIDAD              Grave                         300                           
57553014                      12/06/2025                    G7                            HABLAR CELULAR                Grave                         150                           
13176186                      12/06/2025                    B2                            EXCESO VELOCIDAD              Muy Grave                     200                           
38195995                      12/06/2025                    B2                            HABLAR CELULAR                Grave                         450                           
72092888                      13/06/2025                    A1                            HABLAR CELULAR                Grave                         150                           
72092888                      15/06/2025                    E5                            ESTACIONAR ZONA PROHIBIDA     Grave                         120                           
86644106                      15/06/2025                    H8                            SIN CINTURON                  Grave                         200                           
87701200                      16/06/2025                    B2                            HABLAR CELULAR                Muy Grave                     150                           
24549543                      17/06/2025                    B2                            NO RESPETAR SENAL             Muy Grave                     200                           
10226999                      17/06/2025                    F6                            LUZ ROJA                      Grave                         200                           
12823170                      19/06/2025                    G7                            NO RESPETAR SENAL             Muy Grave                     450                           
66661351                      19/06/2025                    H8                            HABLAR CELULAR                Leve                          150                           
53524491                      19/06/2025                    H8                            SIN CINTURON                  Muy Grave                     450                           
13999315                      20/06/2025                    A1                            LUZ ROJA                      Muy Grave                     300                           
87388337                      20/06/2025                    F6                            LUZ ROJA                      Grave                         120                           
24549543                      20/06/2025                    E5                            LUZ ROJA                      Muy Grave                     450                           
57683626                      21/06/2025                    A1                            ESTACIONAR ZONA PROHIBIDA     Muy Grave                     300                           
24282218                      21/06/2025                    D4                            SIN CINTURON                  Muy Grave                     350                           
10076758                      22/06/2025                    H8                            NO RESPETAR SENAL             Leve                          450                           
27778019                      22/06/2025                    E5                            LUZ ROJA                      Muy Grave                     200                           
12823170                      22/06/2025                    B2                            EXCESO VELOCIDAD              Leve                          120                           
54769200                      22/06/2025                    B2                            EXCESO VELOCIDAD              Leve                          300                           
38427073                      23/06/2025                    E5                            LUZ ROJA                      Grave                         120                           
42868828                      23/06/2025                    H8                            LUZ ROJA                      Grave                         200                           
93638503                      23/06/2025                    C3                            HABLAR CELULAR                Muy Grave                     144                           
31931511                      23/06/2025                    B2                            ESTACIONAR ZONA PROHIBIDA     Leve                          300                           
14216175                      24/06/2025                    F6                            ESTACIONAR ZONA PROHIBIDA     Grave                         200                           
38195995                      24/06/2025                    E5                            NO RESPETAR SENAL             Muy Grave                     120                           
70211891                      25/06/2025                    C3                            EXCESO VELOCIDAD              Muy Grave                     360                           
10435578                      26/06/2025                    H8                            EXCESO VELOCIDAD              Grave                         120                           
48250360                      26/06/2025                    A1                            EXCESO VELOCIDAD              Grave                         350                           
10965138                      26/06/2025                    A1                            NO RESPETAR SENAL             Grave                         450                           
27778019                      26/06/2025                    B2                            LUZ ROJA                      Grave                         350                           
48250360                      26/06/2025                    B2                            NO RESPETAR SENAL             Leve                          300                           
63121477                      26/06/2025                    E5                            EXCESO VELOCIDAD              Muy Grave                     300                           
39219319                      27/06/2025                    C3                            ESTACIONAR ZONA PROHIBIDA     Grave                         360                           
13176186                      28/06/2025                    C3                            HABLAR CELULAR                Leve                          540                           
64634663                      28/06/2025                    G7                            HABLAR CELULAR                Muy Grave                     120                           
90801586                      28/06/2025                    B2                            SIN CINTURON                  Grave                         200                           
95132217                      29/06/2025                    G7                            LUZ ROJA                      Leve                          300                           
53524491                      29/06/2025                    C3                            LUZ ROJA                      Grave                         360                           
93638503                      29/06/2025                    A1                            NO RESPETAR SENAL             Leve                          120                           
38538251                      30/06/2025                    B2                            LUZ ROJA                      Leve                          120                           
70211891                      30/06/2025                    F6                            HABLAR CELULAR                Muy Grave                     350                           
93303777                      30/06/2025                    E5                            LUZ ROJA                      Leve                          200                           
63551839                      30/06/2025                    H8                            HABLAR CELULAR                Grave                         150                           
14216175                      30/06/2025                    G7                            HABLAR CELULAR                Muy Grave                     450                           
30868105                      01/07/2025                    G7                            HABLAR CELULAR                Muy Grave                     120                           
14216175                      02/07/2025                    A1                            NO RESPETAR SENAL             Leve                          150                           
15614174                      02/07/2025                    C3                            HABLAR CELULAR                Muy Grave                     360                           
13176186                      02/07/2025                    B2                            HABLAR CELULAR                Grave                         300                           
63121477                      02/07/2025                    H8                            LUZ ROJA                      Leve                          200                           
58884978                      03/07/2025                    E5                            ESTACIONAR ZONA PROHIBIDA     Grave                         350                           
38538251                      03/07/2025                    A1                            EXCESO VELOCIDAD              Muy Grave                     350                           
10872248                      03/07/2025                    E5                            EXCESO VELOCIDAD              Muy Grave                     200                           
12823170                      03/07/2025                    B2                            LUZ ROJA                      Leve                          350                           
66267415                      04/07/2025                    G7                            LUZ ROJA                      Muy Grave                     120                           
