                                                                        REPORTE DE PRUEBA DE LOS CONDUCTORES
====================================================================================================================================================================================
DNI                                                         PLACA                                                       MODELO                                                      
97612081                                                    XWG908                                                      Peugeot 208                                                 
97705310                                                    JXS382                                                      Volkswagen Gol                                              
97956894                                                    ZMA614                                                      Kia Rio                                                     
98035982                                                    WJU373                                                      Volkswagen Gol                                              
98225346                                                    WYZ646                                                      Renault Logan                                               
98453010                                                    VVP142                                                      Chevrolet Spark                                             
98610704                                                    VKB744                                                      Fiat Uno                                                    
98826250                                                    UZX863                                                      Kia Rio                                                     
98901266                                                    XSD552                                                      Hyundai Accent                                              
99038526                                                    MGM498                                                      Volkswagen Gol                                              
99245317                                                    RJP452                                                      Chevrolet Spark                                             
99820789                                                    XLD982                                                      Peugeot 208                                                 
99879312                                                    UEN552                                                      Ford Fiesta                                                 
99998912                                                    SET383                                                      Toyota Corolla                                              
